Nombre;Cuenta de ingresos/Código;Precio de lista;Precio de costo;Tipo;Producto de precio independiente de la cantidad;Categoria/Nombre;UdM por defecto/Nombre;Vendible;Comprable;Consumible;Impuestos de cliente/Nombre;Iva;IIBB;AP
Desconexion Directa T3BT (>300);4223;1;1;service;;Servicios de Energía;Unidad;True;False;;;True;False;False
Cargo Fijo T3MT;421110;1;1;service;;Servicios de Energía;Unidad;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%#Ord. Municipal 2756/09 Tasa Salud T3MT;True;True;True
Cargo Variable Pico T3MT;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
Cargo Variable Valle T3MT;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
Cargo Variable Resto T3MT;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
Cargo Potencia Pico T3MT;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
Cargo Potencia Resto T3MT;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
Recargo por Exceso de Potencia Pico T3MT;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
Recargo por Exceso de Potencia Resto T3MT;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
Recargo por Bajo Coseno de Fi T3MT;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
Cargo Perdida Transformador T3MT;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
RES MI 206/13 T3MT;421110;1;1;service;True;Servicios de Energía;Unidad;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
Incremento Costo Mayorista Pico T3MT;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
Incremento Costo Mayorista Valle T3MT;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
Incremento Costo Mayorista Resto T3MT;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True
Cargo Variable Pico T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Cargo Variable Valle T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Cargo Variable Resto T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Cargo Potencia Pico T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Cargo Potencia Resto T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Recargo por Exceso de Potencia Pico T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Recargo por Exceso de Potencia Resto T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Recargo por Bajo Coseno de Fi T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Cargo Perdida Transformador T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Resta Cargo Variable Pico T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Resta Cargo Variable Valle T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Resta Cargo Variable Resto T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Resta Cargo Potencia Pico T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Resta Cargo Potencia Resto T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Resta Recargo por Exceso de Potencia Pico T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Resta Recargo por Exceso de Potencia Resto T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Resta Recargo por Bajo Coseno de Fi T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
Resta Cargo Perdida Transformador T3MT Sin Subsidio;421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False
